movieId,avg_rating_item,quantity_item,likability,title,year,genre,cost
31,3.1785714285714284,42,-0.2778379122165825,Toy Story,1995,Animation,149
1029,3.7023809523809526,42,0.15643624952306845,Jumanji,1995,Adventure,583
1061,3.5454545454545454,33,0.08234669156317474,Grumpier Old Men,1995,Romance,450
1129,3.3125,48,-0.16019159717609613,Waiting to Exhale,1995,Comedy,839
1172,4.260869565217392,46,0.64603838922725,Father of the Bride Part II,1995,Comedy,846
1263,3.8645833333333335,48,0.31689873303592486,Heat,1995,Action,533
1287,3.891304347826087,46,0.3915383552212642,Sabrina,1995,Comedy,419
1293,3.9782608695652173,46,0.4500867627354389,Tom and Huck,1995,Action,1694
1339,3.298076923076923,52,-0.16305970386535262,Sudden Death,1995,Action,508
1343,3.7435897435897436,39,0.20763534578054715,GoldenEye,1995,Adventure,1142
1371,3.0531914893617023,47,-0.42133320691160037,The American President,1995,Comedy,224
1405,3.032608695652174,46,-0.3380429732396992,Dracula: Dead and Loving It,1995,Comedy,877
1953,4.021739130434782,46,0.4297623371008118,Balto,1995,Family,1747
2105,3.478723404255319,47,-0.030832272105991387,Nixon,1995,History,993
2150,3.513888888888889,36,0.044853821011448275,Cutthroat Island,1995,Action,957
2193,3.2023809523809526,42,-0.22968343315913747,Casino,1995,Drama,1029
2294,3.2735849056603774,53,-0.28877874474069953,Sense and Sensibility,1995,Drama,818
2455,3.393617021276596,47,-0.14753470034477154,Four Rooms,1995,Crime,1842
2968,3.5697674418604652,43,0.06365376856845484,Ace Ventura: When Nature Calls,1995,Crime,598
3671,3.935483870967742,62,0.35534368332008287,Money Train,1995,Action,979
10,3.4508196721311477,122,-0.10160205728135376,Get Shorty,1995,Comedy,213
17,3.9244186046511627,86,0.3359621590130393,Copycat,1995,Drama,87
39,3.55,120,0.0395085356774884,Assassins,1995,Action,67
47,4.034825870646766,201,0.3921204280589559,Powder,1995,Drama,401
50,4.370646766169155,201,0.6862898497452962,Leaving Las Vegas,1995,Drama,416
52,3.6372549019607843,51,0.00633661546404465,Othello,1995,Drama,1390
62,3.689655172413793,87,0.13666805980792962,Now and Then,1995,Comedy,865
110,3.9451754385964914,228,0.3262859573572046,Persuasion,1995,Drama,498
144,3.326923076923077,26,-0.24054143156804303,La Cité des Enfants Perdus,1995,Fantasy,726
150,3.9025,200,0.25508464548545573,?????????,1995,Drama,1349
153,2.7829457364341086,129,-0.7569667401991251,Dangerous Minds,1995,Drama,800
161,3.83125,80,0.24235841875186298,Twelve Monkeys,1995,Science Fiction,619
165,3.443661971830986,142,-0.12172431241321956,"Guillaumet, les ailes du courage",1996,Romance,1162
168,3.116279069767442,43,-0.30343888772799144,Babe,1995,Fantasy,1214
185,3.1029411764705883,102,-0.43216605596670704,Carrington,1995,History,292
186,2.875,48,-0.6603567455060017,Dead Man Walking,1995,Drama,195
208,2.752212389380531,113,-0.7803572870000136,Across the Sea of Time,1995,Adventure,965
222,3.9318181818181817,22,0.35256479512114436,It Takes Two,1995,Comedy,446
223,3.963302752293578,109,0.3251517298324474,Clueless,1995,Comedy,837
225,3.173076923076923,52,-0.3745909004728235,"Cry, the Beloved Country",1995,Drama,431
235,3.9038461538461537,78,0.29547621637238863,Richard III,1995,Drama,1217
248,3.1538461538461537,13,-0.47796034578003543,Dead Presidents,1995,Action,70
253,3.396,125,-0.1490431662560344,Restoration,1995,Drama,1525
261,3.715686274509804,51,0.1494792351793472,Mortal Kombat,1995,Action,520
265,3.879032258064516,62,0.24593657395509597,To Die For,1995,Fantasy,521
266,3.4863013698630136,73,-0.0887752341891471,How To Make An American Quilt,1995,Drama,1579
272,4.0,39,0.3975384003377506,Se7en,1995,Crime,45
273,3.1296296296296298,27,-0.4881526623316214,Pocahontas,1995,Adventure,414
292,3.309090909090909,110,-0.21085002006129686,When Night Is Falling,1995,Drama,664
296,4.256172839506172,324,0.6005526040641582,The Usual Suspects,1995,Drama,345
300,3.75,90,0.14885006309248658,Guardian Angel,1994,Action,789
314,3.9411764705882355,17,0.16474371573465715,Mighty Aphrodite,1995,Comedy,1330
317,2.9642857142857144,70,-0.5240272200816185,Lamerica,1994,Drama,533
319,3.973684210526316,38,0.3455729021425104,The Big Green,1995,Action,1481
339,3.4405940594059405,101,-0.08077036737207961,Georgia,1995,Drama,658
349,3.7869565217391306,115,0.17881821341881635,Kids of the Round Table,1997,,365
350,3.3285714285714287,70,-0.2387217842019397,Home for the Holidays,1995,Comedy,299
356,4.05425219941349,341,0.3993111981475035,Il postino,1994,Comedy,733
357,3.6844262295081966,122,0.12021594123086096,Le confessionnal,1995,Thriller,1127
